,id1,id2,label
0,10013939,10091126,-1
1,10193598,10174077,1
2,10142186,10062076,-1
3,10158741,10115630,1
4,10047344,10062078,-1
5,10005624,10174077,1
6,10062078,10118207,1
7,10053153,10118207,1
8,10177034,10151623,-1
9,10169905,1008332,1
10,10171842,10006681,1
11,10178421,10176882,-1
12,1008325,10151623,-1
13,10193598,10062074,-1
14,1015744,10009723,1
15,10095726,10118207,-1
16,10062078,10118207,1
17,10113882,1008329,1
18,1001152,10056705,-1
19,10086563,10057850,-1
20,10161744,1008326,-1
21,10106324,10178498,-1
22,10169905,1008329,1
23,10205542,10057850,-1
24,10169905,1008329,1
25,10142186,10006171,1
26,1002618,10047344,-1
27,10113882,1015744,1
28,10013939,10140299,1
29,10135488,1008331,-1
30,10005624,10072636,1
31,10195219,1008324,1
32,10055931,10192341,1
33,10085826,10009723,1
34,10174628,10107377,-1
35,10057850,10118207,-1
36,10000832,10093209,-1
37,10095726,10173088,1
38,10182360,1015744,-1
39,10113882,10107377,-1
40,10095870,10072636,1
41,10161744,10005674,-1
42,10142186,10140299,1
43,10182360,10182363,1
44,10106324,10109343,-1
45,1008325,10182363,-1
46,10095726,10000832,-1
47,10055931,1015744,-1
48,10177034,100791,1
49,10178498,10109343,1
50,100791,10151252,1
51,10142186,10140299,1
52,1008325,10009723,1
53,10168255,10005623,-1
54,10171842,10006681,1
55,10005624,10072636,1
56,10158741,10174077,-1
57,1008326,10118207,1
58,10113882,1008329,1
59,1008332,10009723,1
60,10095726,10173088,1
61,10193598,10005624,1
62,10161744,10072636,-1
63,10062077,10041453,1
64,10115630,10000832,-1
65,10177034,10006681,1
66,10084530,10107377,1
67,10195219,10009723,1
68,10062074,10176882,1
69,100791,10151252,1
70,10084530,10107377,1
71,10113882,1015744,1
72,10158740,10140251,-1
73,10076077,1002618,-1
74,10115624,10062078,-1
75,10173088,10041453,-1
76,10079611,10091126,-1
77,10086563,10013939,-1
78,10076077,10095821,1
79,10177738,10104168,-1
80,10192341,10126016,-1
81,10169905,1008332,1
82,10055931,1008329,-1
83,10177034,1008332,1
84,10158741,10118207,-1
85,10142186,10062074,-1
86,100791,10088166,-1
87,1008325,10009723,1
88,10053153,10118207,1
89,1008326,10118207,1
90,10171842,1008332,1
91,10177034,100791,1
92,1008332,10151252,1
93,10089329,10113882,1
94,10113882,10195219,1
95,1008332,10151252,1
96,10113882,10109343,-1
97,10171842,1008332,1
98,10177738,1008332,-1
99,10062077,1008326,1
100,10113882,1014829,-1
